filename,date,box,experiment,day,context,no_shock,animal_id,fear
20241113_Box_1_CFC_Day_0_(Context_A)_9001.mp4,20241113,1,CFC,0,A,no,9001,
20241113_Box_1_CFC_Day_0_(Context_A)_9003.mp4,20241113,1,CFC,0,A,no,9003,
20241113_Box_1_CFC_Day_0_(Context_A)_9005.mp4,20241113,1,CFC,0,A,no,9005,
20241113_Box_1_CFC_Day_0_(Context_A)_9007.mp4,20241113,1,CFC,0,A,no,9007,
20241113_Box_1_CFC_Day_0_(Context_A)_9009.mp4,20241113,1,CFC,0,A,no,9009,
20241113_Box_1_CFC_Day_0_(Context_A)_9011.mp4,20241113,1,CFC,0,A,no,9011,
20241113_Box_1_CFC_Day_0_(Context_A)_9013.mp4,20241113,1,CFC,0,A,no,9013,
20241113_Box_1_CFC_Day_0_(Context_A)_9015.mp4,20241113,1,CFC,0,A,no,9015,
20241113_Box_2_CFC_Day_0_(Context_A)_9002.mp4,20241113,2,CFC,0,A,no,9002,
20241113_Box_2_CFC_Day_0_(Context_A)_9004.mp4,20241113,2,CFC,0,A,no,9004,
20241113_Box_2_CFC_Day_0_(Context_A)_9006.mp4,20241113,2,CFC,0,A,no,9006,
20241113_Box_2_CFC_Day_0_(Context_A)_9008.mp4,20241113,2,CFC,0,A,no,9008,
20241113_Box_2_CFC_Day_0_(Context_A)_9010.mp4,20241113,2,CFC,0,A,no,9010,
20241113_Box_2_CFC_Day_0_(Context_A)_9012.mp4,20241113,2,CFC,0,A,no,9012,
20241113_Box_2_CFC_Day_0_(Context_A)_9014.mp4,20241113,2,CFC,0,A,no,9014,
20241113_Box_2_CFC_Day_0_(Context_A)_9016.mp4,20241113,2,CFC,0,A,no,9016,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9001.mp4",20241114,1,CFC,1,A,yes,9001,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9003.mp4",20241114,1,CFC,1,A,yes,9003,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9005.mp4",20241114,1,CFC,1,A,yes,9005,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9007.mp4",20241114,1,CFC,1,A,yes,9007,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9009.mp4",20241114,1,CFC,1,A,yes,9009,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9011.mp4",20241114,1,CFC,1,A,yes,9011,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9013.mp4",20241114,1,CFC,1,A,yes,9013,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9015.mp4",20241114,1,CFC,1,A,yes,9015,
"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9002.mp4",20241114,2,CFC,1,A,yes,9002,
"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9004.mp4",20241114,2,CFC,1,A,yes,9004,
"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9006.mp4",20241114,2,CFC,1,A,yes,9006,
"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9008.mp4",20241114,2,CFC,1,A,yes,9008,
"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9010.mp4",20241114,2,CFC,1,A,yes,9010,
"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9012.mp4",20241114,2,CFC,1,A,yes,9012,
"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9014.mp4",20241114,2,CFC,1,A,yes,9014,
"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9016.mp4",20241114,2,CFC,1,A,yes,9016,
20241115_Box_1_CFC_Day_2_(Context_C)_9001.mp4,20241115,1,CFC,2,C,no,9001,
20241115_Box_1_CFC_Day_2_(Context_C)_9003.mp4,20241115,1,CFC,2,C,no,9003,
20241115_Box_1_CFC_Day_2_(Context_C)_9005.mp4,20241115,1,CFC,2,C,no,9005,
20241115_Box_1_CFC_Day_2_(Context_C)_9007.mp4,20241115,1,CFC,2,C,no,9007,
20241115_Box_1_CFC_Day_2_(Context_C)_9009.mp4,20241115,1,CFC,2,C,no,9009,
20241115_Box_1_CFC_Day_2_(Context_C)_9011.mp4,20241115,1,CFC,2,C,no,9011,
20241115_Box_1_CFC_Day_2_(Context_C)_9013.mp4,20241115,1,CFC,2,C,no,9013,
20241115_Box_1_CFC_Day_2_(Context_C)_9015.mp4,20241115,1,CFC,2,C,no,9015,
20241115_Box_2_CFC_Day_2_(Context_C)_9002.mp4,20241115,2,CFC,2,C,no,9002,
20241115_Box_2_CFC_Day_2_(Context_C)_9004.mp4,20241115,2,CFC,2,C,no,9004,
20241115_Box_2_CFC_Day_2_(Context_C)_9006.mp4,20241115,2,CFC,2,C,no,9006,
20241115_Box_2_CFC_Day_2_(Context_C)_9008.mp4,20241115,2,CFC,2,C,no,9008,
20241115_Box_2_CFC_Day_2_(Context_C)_9010.mp4,20241115,2,CFC,2,C,no,9010,
20241115_Box_2_CFC_Day_2_(Context_C)_9012.mp4,20241115,2,CFC,2,C,no,9012,
20241115_Box_2_CFC_Day_2_(Context_C)_9014.mp4,20241115,2,CFC,2,C,no,9014,
20241115_Box_2_CFC_Day_2_(Context_C)_9016.mp4,20241115,2,CFC,2,C,no,9016,
20241118_Box_1_CFD_Day_3_(Context_A)_9001.mp4,20241118,1,CFD,3,A,no,9001,
20241118_Box_1_CFD_Day_3_(Context_A)_9003.mp4,20241118,1,CFD,3,A,no,9003,
20241118_Box_1_CFD_Day_3_(Context_A)_9005.mp4,20241118,1,CFD,3,A,no,9005,
20241118_Box_1_CFD_Day_3_(Context_A)_9007.mp4,20241118,1,CFD,3,A,no,9007,
20241118_Box_1_CFD_Day_3_(Context_A)_9009.mp4,20241118,1,CFD,3,A,no,9009,
20241118_Box_1_CFD_Day_3_(Context_A)_9011.mp4,20241118,1,CFD,3,A,no,9011,
20241118_Box_1_CFD_Day_3_(Context_A)_9013.mp4,20241118,1,CFD,3,A,no,9013,
20241118_Box_1_CFD_Day_3_(Context_A)_9015.mp4,20241118,1,CFD,3,A,no,9015,
20241118_Box_1_CFD_Day_3_(Context_B)_9001.mp4,20241118,1,CFD,3,B,no,9001,
20241118_Box_1_CFD_Day_3_(Context_B)_9003.mp4,20241118,1,CFD,3,B,no,9003,
20241118_Box_1_CFD_Day_3_(Context_B)_9005.mp4,20241118,1,CFD,3,B,no,9005,
20241118_Box_1_CFD_Day_3_(Context_B)_9007.mp4,20241118,1,CFD,3,B,no,9007,
20241118_Box_1_CFD_Day_3_(Context_B)_9009.mp4,20241118,1,CFD,3,B,no,9009,
20241118_Box_1_CFD_Day_3_(Context_B)_9011.mp4,20241118,1,CFD,3,B,no,9011,
20241118_Box_1_CFD_Day_3_(Context_B)_9013.mp4,20241118,1,CFD,3,B,no,9013,
20241118_Box_1_CFD_Day_3_(Context_B)_9015.mp4,20241118,1,CFD,3,B,no,9015,
20241118_Box_2_CFD_Day_3_(Context_A)_9002.mp4,20241118,2,CFD,3,A,no,9002,
20241118_Box_2_CFD_Day_3_(Context_A)_9004.mp4,20241118,2,CFD,3,A,no,9004,
20241118_Box_2_CFD_Day_3_(Context_A)_9006.mp4,20241118,2,CFD,3,A,no,9006,
20241118_Box_2_CFD_Day_3_(Context_B)_9014.mp4,20241118,2,CFD,3,B,no,9014,
20241118_Box_2_CFD_Day_3_(Context_B)_9016.mp4,20241118,2,CFD,3,B,no,9016,
20241119_Box_1_CFD_Day_4_(Context_A)_9001.mp4,20241119,1,CFD,4,A,no,9001,
20241119_Box_1_CFD_Day_4_(Context_A)_9003.mp4,20241119,1,CFD,4,A,no,9003,
