stem,start_frame,end_frame,duration_sec,context,mean_distance
20241113_Box_2_CFC_Day_0_(Context_A)_9004,5407,5416,0.33,A,24.732
20241113_Box_2_CFC_Day_0_(Context_A)_9004,5983,6011,0.97,A,24.942
20241113_Box_2_CFC_Day_0_(Context_A)_9004,6127,6135,0.3,A,23.378
20241113_Box_2_CFC_Day_0_(Context_A)_9004,6137,6143,0.23,A,23.989
20241113_Box_2_CFC_Day_0_(Context_A)_9006,5404,5409,0.2,A,25.733
20241113_Box_2_CFC_Day_0_(Context_A)_9006,5432,5441,0.33,A,27.536
20241113_Box_2_CFC_Day_0_(Context_A)_9006,5835,5840,0.2,A,24.374
20241115_Box_1_CFC_Day_2_(Context_C)_9009,0,10,0.37,C,25.384
20241115_Box_1_CFC_Day_2_(Context_C)_9009,29,35,0.23,C,23.85
20241115_Box_1_CFC_Day_2_(Context_C)_9009,81,86,0.2,C,24.501
20241115_Box_1_CFC_Day_2_(Context_C)_9009,98,117,0.67,C,24.937
20241115_Box_1_CFC_Day_2_(Context_C)_9009,157,183,0.9,C,25.615
20241115_Box_1_CFC_Day_2_(Context_C)_9009,185,190,0.2,C,24.244
20241115_Box_1_CFC_Day_2_(Context_C)_9009,193,198,0.2,C,24.418
20241115_Box_1_CFC_Day_2_(Context_C)_9009,201,215,0.5,C,23.835
20241115_Box_1_CFC_Day_2_(Context_C)_9009,334,400,2.23,C,25.461
20241115_Box_1_CFC_Day_2_(Context_C)_9009,410,417,0.27,C,23.798
20241115_Box_1_CFC_Day_2_(Context_C)_9009,421,430,0.33,C,23.088
20241115_Box_1_CFC_Day_2_(Context_C)_9009,433,476,1.47,C,24.729
20241115_Box_1_CFC_Day_2_(Context_C)_9009,491,498,0.27,C,24.024
20241115_Box_1_CFC_Day_2_(Context_C)_9009,524,529,0.2,C,23.46
20241115_Box_1_CFC_Day_2_(Context_C)_9009,544,588,1.5,C,24.616
20241115_Box_1_CFC_Day_2_(Context_C)_9009,594,618,0.83,C,25.073
20241115_Box_1_CFC_Day_2_(Context_C)_9009,724,733,0.33,C,23.788
20241115_Box_1_CFC_Day_2_(Context_C)_9009,749,754,0.2,C,23.551
20241115_Box_1_CFC_Day_2_(Context_C)_9009,1065,1078,0.47,C,23.641
20241115_Box_1_CFC_Day_2_(Context_C)_9009,1123,1147,0.83,C,24.264
20241115_Box_1_CFC_Day_2_(Context_C)_9009,1401,1407,0.23,C,23.416
20241115_Box_1_CFC_Day_2_(Context_C)_9009,1427,1476,1.67,C,25.686
20241115_Box_1_CFC_Day_2_(Context_C)_9009,1518,1529,0.4,C,24.784
20241115_Box_1_CFC_Day_2_(Context_C)_9009,1533,1548,0.53,C,24.706
20241115_Box_1_CFC_Day_2_(Context_C)_9009,1551,1558,0.27,C,24.331
20241115_Box_1_CFC_Day_2_(Context_C)_9009,1572,1583,0.4,C,23.222
20241115_Box_1_CFC_Day_2_(Context_C)_9009,1637,1643,0.23,C,23.572
