stem,state,start_frame,end_frame,start_sec,end_sec,duration_sec,context,animal_id,day,experiment
20241113_Box_1_CFC_Day_0_(Context_A)_9001,9,0,5758,0.0,191.93,191.97,A,9001,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9001,5,5759,5799,191.97,193.3,1.37,A,9001,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9001,9,5800,6055,193.33,201.83,8.53,A,9001,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9001,5,6056,6075,201.87,202.5,0.67,A,9001,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9001,9,6076,6289,202.53,209.63,7.13,A,9001,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9001,-1,6290,6301,209.67,210.03,0.4,A,9001,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9003,9,0,6300,0.0,210.0,210.03,A,9003,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9005,9,0,5522,0.0,184.07,184.1,A,9005,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9005,-1,5523,5534,184.1,184.47,0.4,A,9005,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9005,9,5535,6300,184.5,210.0,25.53,A,9005,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9007,9,0,3294,0.0,109.8,109.83,A,9007,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9007,-1,3295,3448,109.83,114.93,5.13,A,9007,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9007,9,3449,3955,114.97,131.83,16.9,A,9007,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9007,-1,3956,3982,131.87,132.73,0.9,A,9007,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9007,9,3983,4655,132.77,155.17,22.43,A,9007,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9007,-1,4656,4676,155.2,155.87,0.7,A,9007,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9007,9,4677,6179,155.9,205.97,50.1,A,9007,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9007,-1,6180,6232,206.0,207.73,1.77,A,9007,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9007,9,6233,6279,207.77,209.3,1.57,A,9007,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9007,-1,6280,6300,209.33,210.0,0.7,A,9007,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9009,9,0,1446,0.0,48.2,48.23,A,9009,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9009,9,1452,5383,48.4,179.43,131.07,A,9009,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9009,-1,5384,5399,179.47,179.97,0.53,A,9009,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9009,9,5400,6300,180.0,210.0,30.03,A,9009,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9011,9,0,1264,0.0,42.13,42.17,A,9011,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9011,-1,1265,1288,42.17,42.93,0.8,A,9011,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9011,9,1289,5184,42.97,172.8,129.87,A,9011,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9011,-1,5185,5210,172.83,173.67,0.87,A,9011,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9011,9,5211,5864,173.7,195.47,21.8,A,9011,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9011,-1,5865,6055,195.5,201.83,6.37,A,9011,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9011,9,6056,6087,201.87,202.9,1.07,A,9011,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9011,-1,6088,6108,202.93,203.6,0.7,A,9011,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9011,9,6109,6301,203.63,210.03,6.43,A,9011,0,CFC
20241113_Box_1_CFC_Day_0_(Context_A)_9013,9,0,6300,0.0,210.0,210.03,A,9013,0,CFC
