state,A_frac,B_frac,C_frac,A_minus_B,A_minus_B_ci_lo,A_minus_B_ci_hi,cohen_d_A_B,A_minus_C,A_minus_C_ci_lo,A_minus_C_ci_hi,cohen_d_A_C,B_minus_C,B_minus_C_ci_lo,B_minus_C_ci_hi,cohen_d_B_C,A_enrichment,B_enrichment,C_enrichment,A_rank,B_rank,C_rank,heuristic_label
0,0.005215193153500204,0.0017490824750012518,0.0005900998111680591,0.0035,-0.0025,0.0118,0.118,0.0046,-0.0003,0.0127,0.164,0.0012,-0.0012,0.0044,0.132,0.004,-0.0012,-0.0029,9,15,8,state_0: grooming/comfort-like (candidate)
1,0.005046155980908253,0.0025554560435523837,0.0,0.0025,-0.0031,0.0088,0.102,0.005,0.0006,0.0111,0.223,0.0026,0.0003,0.0057,0.275,0.0038,0.0,-0.0038,10,12,13,state_1: grooming/comfort-like (candidate)
2,0.0,0.01106180284219029,0.0,-0.0111,-0.0312,-0.0001,-0.209,0.0,0.0,0.0,0.0,0.0111,0.0001,0.0298,0.209,-0.0055,0.0111,-0.0055,21,3,21,state_2: grooming/comfort-like (candidate)
3,0.003205376619573262,0.0013786122733133173,0.0,0.0018,-0.0027,0.0063,0.107,0.0032,0.0001,0.0072,0.22,0.0014,0.0,0.0041,0.158,0.0025,-0.0002,-0.0023,14,13,5,state_3: grooming/comfort-like (candidate)
4,0.002427001960511654,0.004268014789968069,0.0,-0.0018,-0.0107,0.0057,-0.066,0.0024,0.0001,0.007,0.141,0.0043,0.0,0.0118,0.192,0.0003,0.0031,-0.0033,15,10,10,state_4: locomotion (candidate)
5,0.004195013255244251,2.289628896948148e-06,0.0,0.0042,0.0,0.0118,0.148,0.0042,0.0,0.0118,0.148,0.0,0.0,0.0,0.158,0.0042,-0.0021,-0.0021,8,17,4,state_5: locomotion (candidate)
6,0.009586997736543073,0.00013509405169237162,0.0,0.0095,0.0003,0.0227,0.205,0.0096,0.0004,0.0243,0.208,0.0001,0.0,0.0003,0.234,0.0095,-0.0047,-0.0049,2,25,18,state_6: mixed (candidate)
7,0.0,0.006927397305756677,0.0,-0.0069,-0.0164,-0.0002,-0.244,0.0,0.0,0.0,0.0,0.0069,0.0001,0.0164,0.244,-0.0035,0.0069,-0.0035,17,8,12,state_7: locomotion (candidate)
8,0.0023271927515790525,0.005419825115327444,0.0,-0.0031,-0.0133,0.0045,-0.103,0.0023,0.0,0.0065,0.154,0.0054,0.0001,0.0158,0.209,-0.0004,0.0043,-0.0039,16,9,15,state_8: grooming/comfort-like (candidate)
9,0.0013151799281579403,0.010263229907077825,0.0007670641027686636,-0.0089,-0.0193,-0.0004,-0.284,0.0005,-0.0011,0.0029,0.071,0.0095,0.0018,0.0208,0.311,-0.0042,0.0092,-0.005,19,6,19,state_9: grooming/comfort-like (candidate)
10,0.009377895363487238,6.868886690844938e-05,0.0,0.0093,0.0017,0.0195,0.254,0.0094,0.0019,0.02,0.256,0.0001,0.0,0.0002,0.181,0.0093,-0.0046,-0.0047,3,24,17,state_10: locomotion (candidate)
11,0.005817626320458654,0.0010007215741472356,0.00010940582266385909,0.0048,-0.0007,0.0129,0.172,0.0057,0.0003,0.0144,0.204,0.0009,0.0002,0.0016,0.393,0.0053,-0.002,-0.0033,6,16,10,state_11: mixed (candidate)
12,0.006430631958009024,0.00013967670640439012,1.6841254336622726e-05,0.0063,0.0029,0.0106,0.405,0.0064,0.003,0.0109,0.413,0.0001,0.0,0.0002,0.374,0.0064,-0.0031,-0.0033,5,19,10,state_12: locomotion (candidate)
