stem,state_0_frac,state_1_frac,state_2_frac,state_3_frac,state_4_frac,state_5_frac,state_6_frac,state_7_frac,state_8_frac,state_9_frac,state_10_frac,state_11_frac,state_12_frac,state_13_frac,state_14_frac,state_15_frac,state_16_frac,state_17_frac,state_18_frac,state_19_frac,state_20_frac,state_21_frac,state_22_frac,state_23_frac,state_24_frac,state_25_frac,state_26_frac,state_27_frac,state_28_frac,state_29_frac,state_30_frac,state_31_frac,state_32_frac,state_33_frac,state_34_frac,state_35_frac,state_36_frac,state_37_frac,state_38_frac,state_39_frac,state_40_frac,state_41_frac,state_42_frac,state_43_frac,state_44_frac,state_45_frac,state_46_frac,state_47_frac,state_48_frac,state_49_frac,state_50_frac,state_51_frac,state_52_frac,state_53_frac,state_54_frac,state_55_frac,state_56_frac,state_57_frac,state_58_frac,state_59_frac,state_60_frac,state_61_frac,state_62_frac,state_63_frac,state_64_frac,state_65_frac,state_66_frac,state_67_frac,filename,date,box,experiment,day,context,no_shock,animal_id,fear
20241113_Box_1_CFC_Day_0_(Context_A)_9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017827298050139277,0.0,0.024512534818941504,0.0,0.0,0.0,0.0,0.0,0.05181058495821727,0.0,0.0,0.027855153203342618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233983286908078,0.09637883008356546,0.0,0.0947075208913649,0.0,0.3376044568245125,0.0935933147632312,0.005013927576601671,0.0,0.0,0.14707520891364903,0.0,0.0,0.001671309192200557,0.0,0.0690807799442897,0.008913649025069638,0.0005571030640668524,20241113_Box_1_CFC_Day_0_(Context_A)_9001.mp4,20241113,1,CFC,0,A,no,9001,
20241113_Box_1_CFC_Day_0_(Context_A)_9003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07394957983193277,0.0008403361344537816,0.0,0.0,0.0,0.031092436974789917,0.0,0.0058823529411764705,0.0,0.0,0.0,0.07058823529411765,0.0,0.0,0.0453781512605042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008403361344537816,0.02100840336134454,0.037815126050420166,0.010924369747899159,0.0773109243697479,0.0,0.23949579831932774,0.11848739495798319,0.0016806722689075631,0.0,0.0,0.13949579831932774,0.02100840336134454,0.0,0.0025210084033613447,0.0,0.07226890756302522,0.01680672268907563,0.0067226890756302525,20241113_Box_1_CFC_Day_0_(Context_A)_9003.mp4,20241113,1,CFC,0,A,no,9003,
20241113_Box_1_CFC_Day_0_(Context_A)_9005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006920415224913495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001384083044982699,0.011072664359861591,0.0,0.04844290657439446,0.0,0.008304498269896194,0.0,0.0006920415224913495,0.0,0.0,0.0,0.0643598615916955,0.0,0.0,0.035986159169550176,0.0,0.01730103806228374,0.0,0.0,0.0,0.0,0.0,0.0,0.01730103806228374,0.006228373702422145,0.02629757785467128,0.09826989619377163,0.008304498269896194,0.35363321799307956,0.022837370242214532,0.0034602076124567475,0.0,0.0,0.12249134948096886,0.0,0.0,0.01522491349480969,0.0006920415224913495,0.08304498269896193,0.04083044982698962,0.01314878892733564,20241113_Box_1_CFC_Day_0_(Context_A)_9005.mp4,20241113,1,CFC,0,A,no,9005,
20241113_Box_1_CFC_Day_0_(Context_A)_9007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16946211683053788,0.0,0.0,0.0,0.0,0.0,0.012724117987275883,0.012145748987854251,0.002891844997108155,0.0335454019664546,0.000578368999421631,0.0,0.0,0.008097165991902834,0.0,0.0,0.0,0.0410641989589358,0.0,0.0,0.031810294968189705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027183342972816656,0.006362058993637941,0.001156737998843262,0.004048582995951417,0.0,0.3898207056101793,0.002891844997108155,0.000578368999421631,0.0,0.000578368999421631,0.13649508386350492,0.027761711972238288,0.0,0.007518796992481203,0.0,0.0653556969346443,0.01156737998843262,0.006362058993637941,20241113_Box_1_CFC_Day_0_(Context_A)_9007.mp4,20241113,1,CFC,0,A,no,9007,
20241113_Box_1_CFC_Day_0_(Context_A)_9009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007651109410864575,0.0,0.0,0.0,0.0,0.0,0.020657995409334353,0.0,0.0,0.0,0.0,0.005355776587605203,0.2746748278500383,0.013771996939556235,0.0,0.0,0.028309104820198928,0.0,0.0,0.030604437643458302,0.0,0.0022953328232593728,0.0,0.006885998469778117,0.0,0.0,0.0,0.0,0.0,0.009181331293037491,0.0,0.0,0.016067329762815608,0.11629686304514154,0.03289977046671767,0.00306044376434583,0.22188217291507267,0.015302218821729151,0.06962509563886764,0.0,0.0,0.04284621270084162,0.010711553175210406,0.020657995409334353,0.051262433052792655,0.006885998469778117,20241113_Box_1_CFC_Day_0_(Context_A)_9009.mp4,20241113,1,CFC,0,A,no,9009,
20241113_Box_1_CFC_Day_0_(Context_A)_9011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0,0.01,0.028,0.0006666666666666666,0.026,0.0006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024666666666666667,0.11266666666666666,0.0,0.002,0.0,0.15933333333333333,0.04,0.005333333333333333,0.0,0.0013333333333333333,0.254,0.02666666666666667,0.004,0.006,0.004666666666666667,0.14533333333333334,0.018666666666666668,0.020666666666666667,20241113_Box_1_CFC_Day_0_(Context_A)_9011.mp4,20241113,1,CFC,0,A,no,9011,
20241113_Box_1_CFC_Day_0_(Context_A)_9013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20241113_Box_1_CFC_Day_0_(Context_A)_9013.mp4,20241113,1,CFC,0,A,no,9013,
20241113_Box_1_CFC_Day_0_(Context_A)_9015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3876906891109942,0.0,0.0,0.0,0.0,0.0005260389268805891,0.0,0.0,0.0,0.0,0.0026301946344029457,0.015255128879537085,0.0005260389268805891,0.0,0.0,0.03734876380852183,0.0,0.0,0.02367175170962651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998421883219358,0.003682272488164124,0.011572856391372961,0.0,0.0,0.2540768016833246,0.027354024197790636,0.0015781167806417674,0.0,0.0,0.10468174644923724,0.0005260389268805891,0.0,0.003156233561283535,0.0005260389268805891,0.07995791688584955,0.013150973172014729,0.0021041557075223566,20241113_Box_1_CFC_Day_0_(Context_A)_9015.mp4,20241113,1,CFC,0,A,no,9015,
20241113_Box_2_CFC_Day_0_(Context_A)_9002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4622892635314996,0.0,0.012422360248447204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01064773735581189,0.11801242236024845,0.001774622892635315,0.0,0.012422360248447204,0.018633540372670808,0.0,0.0,0.011535048802129548,0.0,0.0,0.0,0.0044365572315882874,0.0,0.0,0.0,0.0,0.0,0.0026619343389529724,0.0008873114463176575,0.0,0.0,0.050576752440106475,0.0008873114463176575,0.005323868677905945,0.0,0.006211180124223602,0.19520851818988466,0.0,0.009760425909494233,0.01685891748003549,0.011535048802129548,0.0044365572315882874,0.03194321206743567,0.011535048802129548,20241113_Box_2_CFC_Day_0_(Context_A)_9002.mp4,20241113,2,CFC,0,A,no,9002,
20241113_Box_2_CFC_Day_0_(Context_A)_9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0,0.0013020833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022135416666666668,0.3763020833333333,0.048177083333333336,0.0,0.0,0.024739583333333332,0.0,0.0,0.032552083333333336,0.0,0.0,0.0013020833333333333,0.016927083333333332,0.0,0.0,0.026041666666666668,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0013020833333333333,0.07421875,0.026041666666666668,0.005208333333333333,0.0,0.09635416666666667,0.13151041666666666,0.0,0.0013020833333333333,0.0234375,0.00390625,0.018229166666666668,0.04296875,0.0234375,20241113_Box_2_CFC_Day_0_(Context_A)_9004.mp4,20241113,2,CFC,0,A,no,9004,
